id,text
3077,plague health
3086,be clear on cancer
3090,
3093,be clear on cancer
3100,sea world sea world
3102,
3104,
3117,
3120,
3122,sad tragedy innocent crash
3123,love food fun
3125,
3136,
3138,
3144,video
3147,news
3159,baking cake
3161,flood
3163,the lion
3167,fantastic four
3170,
3174,king deluge
3180,child sex abuse
3181,
3183,un deluge
3185,
3191,content marketing
3197,
3198,meditation by
3201,
3212,glimpse
3262,
3277,fitness inspiration
3280,terrorist
3285,fashion manhood
3286,
3292,android
3295,
3302,
3303,
3309,patriot cant make it up patriot nation
3318,back up
3319,congress
3337,
3355,buffalo
3361,demolition worker job
3362,
3368,
3369,watch movie
3372,demolition
3379,
3405,
3410,deal
3411,free political
3413,
3415,
3418,all life matter
3419,
3428,
3430,
3437,
3447,all life matter
3448,
3452,business
3459,
3460,
3462,
3466,
3471,illustration subway
3472,writing
3473,
3474,
3475,identity theft tax return identity theft
3476,
3493,
3494,
3500,
3508,news
3510,team follow back follow back
3512,ministry
3513,scanner
3519,
3527,news
3532,
3533,news
3534,news
3540,ministry
3566,on this day
3570,sound cloud
3602,alt electro rock
3607,desolation the conspiracy theory new
3609,
3611,free military thriller suspense kindle
3613,phoenix
3617,
3634,phoenix
3638,
3641,
3643,
3645,
3647,
3653,
3658,for smash half genie hero
3666,
3667,luck destroy
3669,
3674,copped
3675,destroy free
3680,
3684,dot net
3695,ash to ash
3713,
3715,everyday
3725,talk
3735,
3737,deal
3741,hot teen
3743,
3753,
3759,fly cat destruction
3761,news
3765,
3771,thing
3780,
3789,
3812,boulder
3816,
3822,
3827,
3829,
3837,
3842,news
3876,sound cloud
3877,
3904,riot
3905,
3907,
3922,summer fate
3924,ross barton
3926,
3935,cole
3953,
3954,latest news
3957,
3964,hunger article
3970,first nation idle no more
3979,thorium
3984,bomb
3993,health
3995,
3997,benediction theory
4000,post
4006,mediterranean
4011,after livelihood disaster
4019,recipe
4020,
4021,nit club
4022,
4032,work
4034,thriller fi kindle
4049,prison genocide
4051,strategic patience genocide
4052,u canada
4054,
4057,vote
4064,vote
4068,strategic patience genocide
4072,strategic patience genocide
4076,strategic patience genocide
4077,strategic patience genocide
4078,
4081,prison genocide
4083,
4086,prison genocide
4087,new york
4091,
4094,refugee matter
4098,drought
4108,make water work western canada drought
4116,cloud
4122,weed
4123,drought monitor drought
4135,rain drought
4139,drought warner robin
4146,lake
4156,now listen live
4197,all the kidney bean and yes
4205,gate
4210,
4211,
4212,
4218,
4238,alameda coke
4242,
4262,
4269,nash new video
4270,
4282,state brochure bomb
4301,
4325,cog one
4328,
4348,earthquake
4349,earthquake
4350,earthquake news
4351,
4352,
4353,earthquake i phone
4354,earth quake
4357,c
4358,earth quake
4359,earthquake anchorage
4362,earth
4363,
4365,
4372,
4373,earthquake quake
4375,
4376,earth quake
4377,earthquake
4383,
4384,
4385,c
4392,earthquake
4395,
4441,ugly people
4449,news
4455,borderland
4456,red
4463,
4464,
4470,south
4472,tiger china save ti
4488,news
4490,
4491,worst summer job
4509,
4514,archipelago wolf extinction stand for wolf
4516,international
4524,sore
4527,anchorage job
4529,protect wolf
4539,fire fireman emergency rescue summertime siren
4542,protect wolf
4547,emergency
4550,emergency
4556,gate
4562,
4565,retail
4577,
4580,solar
4584,family autism
4585,homeless
4587,
4588,
4593,
4601,nursing job
4604,nursing
4608,nursing
4609,job
4610,veteran
4617,emergency job
4619,mission hill nursing job job
4622,
4624,breaking news
4625,job
4628,job job
4631,nursing job job
4634,job
4635,job
4637,nursing job job
4641,south line
4646,mission hill nursing
4656,prophet
4657,
4659,prophet
4669,prophet
4672,prophet
4677,literary cake
4678,
4684,prophet
4688,boycott bear
4691,prophet
4697,
4704,
4713,wildfire ca ut or
4717,
4723,ten news
4725,evacuate
4744,worst summer job
4745,evacuation abandoned
4759,
4760,tube strike
4762,
4768,live on
4769,
4774,rocky fire
4777,phoenix
4784,world news
4788,
4790,
4800,live on
4803,more voice
4807,phoenix
4813,breaking
4829,wildfire
4840,rocky fire
4846,
4847,
4848,
4853,
4858,
4859,wildfire
4860,
4866,
4874,load
4884,photo
4887,
4889,news
4891,
4899,
4903,
4914,pet dog animal puppy
4919,keeping my day job
4923,
4924,
4936,
4955,dating meet sex
4957,news science life tech
4959,
4972,
4978,war
4989,cum
4995,bit coin hangout
4997,
5007,
5022,eyewitness
5024,life
5027,climate change anarchy
5037,life
5039,
5049,
5059,
5064,russia
5079,bluebell
5080,
5088,
5101,
5104,
5107,
5136,
5152,news crime justice court
5164,news
5165,education
5174,
5175,
5181,
5182,message
5189,
5194,vision zero
5208,shipping logistics
5231,mystery paranormal
5276,perry chat
5281,black in growing up black
5287,choose god path
5295,the
5296,
5300,best talk radio
5308,walt
5315,
5321,auction shoe
5331,
5332,canon bring it fire canon tattoo there more where that came from
5342,news
5353,love food
5354,fire
5366,
5367,
5372,
5375,
5381,pray for
5382,sig alert
5385,fireman
5387,sig alert
5403,
5408,
5410,
5411,luke box
5416,charity run
5417,kindle
5418,smart m safety
5446,geo tech
5448,em
5454,
5458,rocky fire
5459,
5466,ultima underground
5473,flame
5489,
5498,ruby bot
5517,strong
5519,
5522,
5529,
5548,
5555,
5558,hail
5563,
5569,
5582,
5593,
5594,grant fund
5600,
5604,new york
5608,weather
5617,weather environment climate nature
5618,
5619,flooding
5621,
5622,
5625,
5626,flood flooding
5633,
5641,
5646,nam
5650,flood disaster
5653,
5659,grateful
5661,
5662,quote
5664,flood
5674,priceless
5676,flood disaster
5684,jazz art music
5690,world vision
5692,
5694,
5699,quote
5704,typhoon
5710,quote
5717,route complex
5722,route complex
5730,real
5739,natural disaster
5751,
5754,palm oil forest
5759,
5760,tree deep lake forest
5769,heart disease
5783,
5789,go blue wrestle on
5790,
5791,
5792,sir mix
5793,
5795,
5803,
5808,
5815,
5818,
5822,park chat
5825,
5833,
5835,hailstorm rain
5840,boston hailstorm
5845,
5848,summer hailstorm
5856,hailstorm
5858,hail hailstorm
5869,canoe livery love my job
5870,
5874,boston hailstorm
5876,
5882,boston hailstorm
5884,
5888,harry be careful
5891,
5902,
5916,
5934,parenthood
5937,
5950,
5952,
5980,hazard
5985,we whole wholesale
5988,
5991,sustainable
5992,
5996,nestle ban
5997,what tribal world
5998,
6000,dam world
6003,
6007,
6023,nestle ban
6027,
6030,
6031,nestle ban
6032,special world
6033,
6034,
6038,
6056,squad rev it up pizza rev
6057,m
6069,
6075,
6083,sound cloud
6088,afterlife
6092,
6094,wealth forever reflect
6096,
6099,afterlife
6105,wealth forever reflect
6110,
6112,afterlife
6113,
6116,afterlife
6123,wealth forever reflect
6125,afterlife
6126,wod
6133,tow
6134,
6137,gate
6148,human right
6162,
6170,latest news
6213,
6222,fresno
6243,hot best
6244,hot best
6245,hot best
6246,hot best
6248,hot best
6253,hot best
6255,hot best
6256,hot best
6259,hot best
6261,hot best
6262,hot best
6265,hot best
6267,hot best
6272,hot best
6274,hot best
6276,hot best
6278,
6282,flavor tea
6283,hot best
6328,
6336,hot best
6337,hot best
6338,free amir now free hostage deal
6344,hot best
6345,hot best
6346,
6354,news hostage terrorism t news
6358,
6365,hot best
6366,hot best
6369,phoenix
6370,free clip adult sex tube
6372,news hostage terrorism t news
6373,no deal ted
6374,security terrorism
6375,news hostage terrorism t news
6376,
6380,hot best
6382,hot best
6383,is
6387,
6396,hurricane earth
6415,hurricane earth
6416,china world
6417,
6427,kick hurricane simple
6446,
6448,ray
6450,wake up trophy hunt
6466,
6469,
6470,
6472,world
6478,golf news
6480,breaking news
6481,
6493,
6499,rider
6510,
6516,disabled veteran the meanness
6528,n
6536,sport
6541,arsenal
6549,
6550,poster cuff
6556,military injury
6561,
6565,
6567,news
6572,cowboy
6577,cowboy
6593,
6607,
6613,worm
6614,flood
6616,
6617,
6629,tech news
6653,sinkhole landslide avalanche
6656,
6660,landslide
6669,tory g
6670,
6683,landslide
6688,landslide
6689,sound cloud
6706,panther attack
6707,
6722,panther attack
6725,e
6731,panther attack
6736,panther attack
6737,baby swim parent lava
6745,panther attack
6748,
6754,i phone
6757,
6759,
6779,lightning
6781,now
6787,
6789,pic
6793,pic
6795,science
6801,action movie taught u
6815,
6821,
6864,
6867,war japan
6874,island
6876,wild horse
6879,island
6881,island
6893,debate question we want to hear
6897,
6909,
6910,theater shooting
6918,
6940,
6946,
6950,
6953,massacre
6956,genocide
6961,remember
6972,bush
6973,
6974,be careful harry
6985,
6988,
6996,giveaway
7005,fashion model mayhem
7008,fashion model mayhem
7009,
7013,master chef
7015,no surrender
7019,
7023,
7024,fashion model mayhem
7027,
7030,
7036,fashion model mayhem
7044,no surrender
7059,blessed
7061,drum heavy nasty
7068,
7076,
7078,
7086,
7093,
7095,
7098,winter military
7108,military veteran environment
7109,
7115,deal
7116,military veteran environment
7125,
7126,job nursing
7128,
7130,author interview gravity military talk radio
7136,
7146,
7147,
7154,
7155,
7157,priceless
7158,disaster
7159,
7160,
7163,
7165,
7166,
7167,
7168,
7171,
7174,
7180,
7183,
7185,bake off friend
7188,bake off friend
7191,
7193,
7205,
7228,ask
7248,
7250,deal no nuclear bad deal
7251,japan
7252,u
7253,natural disaster nuclear u anonymous
7254,nuclear
7260,nuclear nuclear deal
7267,japan
7270,japan
7272,refugee nuclear japan guardian
7278,disaster
7283,nuclear
7289,
7290,japan global
7291,nuclear japan disaster failure guardian
7292,
7296,ge robot nuclear innovation
7302,nuclear u
7306,navy
7317,solar
7320,
7328,sub
7329,
7332,
7335,news
7350,rich homey don swag like
7352,fun
7354,kneel bot
7357,
7360,voyage
7369,gym team assassin
7381,
7410,global warming
7416,
7419,
7425,global warming
7433,blessed
7446,
7453,team
7458,slab labour
7473,obliteration
7476,homosexuality
7482,entrepreneur management leadership business
7512,
7513,
7522,
7523,time news
7527,
7534,news
7555,legionnaire disease
7565,
7581,
7582,
7585,news
7587,news check follow
7594,breaking
7607,pandemonium
7608,copa
7610,pandemonium
7623,benny
7628,
7631,sex video free
7640,
7644,
7650,
7652,trouble on my mind
7668,royal
7681,nation
7685,dream magic linden
7712,
7724,
7748,
7750,world news
7755,smart news
7763,harry be careful
7764,bayonet evil empire jade
7765,
7768,shooting police
7784,
7787,
7788,strategy
7797,business
7800,technology
7801,content policy
7810,in
7822,wired business
7824,
7828,
7831,
7851,hot best
7854,hot best
7862,hot best
7873,
7881,
7882,hot best
7894,hot best
7898,
7906,preparedness
7907,radiation emergency procedure
7908,radiation
7909,
7910,
7915,lucky
7916,b new release
7918,people rainstorm alp landslide
7933,castle
7952,drought wildfire
7971,news
7990,
7994,
8001,northern news
8013,post
8015,
8016,
8026,refugee
8029,refugee
8031,refugee
8037,refugee wedding
8039,age news
8057,presser
8061,
8062,
8065,new beginning animal rescue
8066,
8067,
8068,
8069,
8071,
8073,
8087,
8089,news
8091,
8100,
8101,puppy happy
8103,
8105,
8109,
8113,news
8125,
8130,summer fate
8142,news
8149,world news
8154,
8155,piper auto
8164,news
8169,world news
8176,news
8191,news
8195,art
8202,riot blow up
8203,art
8213,fashion
8214,riot blow up
8240,riot blow up
8241,
8245,
8247,hyperbole
8250,
8252,love is love
8254,rioting underground
8261,
8262,
8279,don
8287,news
8288,rioting underground
8300,
8301,news
8309,
8314,news
8317,
8320,news
8329,
8330,
8334,news
8341,news
8347,quote
8350,
8360,yes
8367,minion
8415,
8468,cedar
8472,fierce
8477,
8483,add to
8516,funny dad coach
8520,idol
8528,no chill luke
8575,
8606,
8607,oil gas ey
8608,
8609,earthquake news
8615,
8620,earthquake
8621,follow map
8622,seismic offshore oil
8623,
8625,
8631,gas
8633,
8640,
8643,gif funny comedy i funny video image
8647,
8655,
8657,yo news
8658,
8660,sinkhole piling
8662,san news
8665,lo ma visto de
8668,san
8674,
8677,funny
8689,
8691,yo news
8697,
8699,priority
8718,destination impact
8720,
8723,sinking twin
8738,tribe
8743,
8747,horror
8755,
8757,
8770,ask
8795,
8808,siren icebreaker
8823,sound cloud
8831,glory
8837,radio news
8892,art painting
8902,m
8905,photo winter south down photography art tree
8912,m
8914,tube strike
8916,
8923,
8924,m
8931,now
8933,photo south down winter photography art tree treescape
8936,lake effect snowstorm
8941,
8944,video game
8949,property storm
8959,event palm beach
8963,sporting good
8966,
8971,
8972,
8985,solar
9000,ultima underground
9028,stretcher
9029,foot adjust shape shoe
9062,preventative
9082,
9095,
9098,
9107,
9113,
9114,
9119,
9130,
9134,
9135,
9142,
9143,tripoli
9148,
9151,
9161,news
9174,
9179,
9187,world news
9207,premonition
9215,
9221,
9225,premonition
9268,
9287,blue jay
9300,oil money trading gold silver business
9303,
9313,mormon
9317,book
9324,
9337,
9339,market money
9344,voyage
9365,summer fate
9372,
9376,
9378,my life story
9385,
9391,
9393,
9402,japan
9403,
9410,world news
9417,lung cancer
9431,nuke
9432,shanghai china
9436,cub
9441,
9445,news truth god terrorism lie
9449,news truth god terrorism lie
9453,politics
9454,news truth god terrorism lie
9470,
9471,
9472,
9480,news truth god terrorism lie
9482,news truth god terrorism lie
9484,
9486,news truth god terrorism lie
9489,anti act
9490,news truth god terrorism lie
9493,talk
9505,election ache din
9508,talk
9520,
9525,terrorist
9531,terrorist
9533,again
9538,traitor
9539,terrorist
9541,
9542,threat
9552,drone privacy
9553,
9565,now
9568,
9571,gander
9576,joe strong go kit go
9583,thunder sooth my slumber
9597,she back
9600,thunder
9602,thunder durant
9608,
9611,u
9613,
9616,u
9634,
9638,thunderstorm ar
9639,
9640,viva
9642,
9643,
9652,thunder lightning thunderstorm nature
9657,u
9663,tornado giveaway
9669,
9673,
9686,photography pod
9708,top story
9723,news
9724,quote
9730,ministry
9737,
9755,
9771,chile news
9776,
9778,entertainment news
9790,news chile
9795,
9813,news
9818,
9820,
9830,
9833,marijuana marijuana
9838,childhood trauma
9842,
9850,
9857,survivor
9858,
9862,
9866,
9877,
9884,
9909,sale
9915,the bargain
9930,
9940,
9960,
9961,thank u
9963,thank u
9971,
9972,banking tech
9973,sing tsunami computer
9980,sing tsunami computer
9984,
9985,
10004,thank u
10009,
10013,
10029,i heart radio now
10032,
10040,
10054,twister love
10058,ace news desk
10066,breaking news
10072,general news
10077,international
10080,
10105,world
10114,the game
10115,news
10116,elderly companionship care chester
10118,news
10136,tiger
10147,
10152,
10159,travel
10169,
10171,
10177,the lion
10184,
10206,news
10210,japan photography volcano
10212,earthquake
10214,earthquake volcano
10215,earthquake i phone
10218,shoe
10220,earthquake quake
10222,earth quake
10223,
10231,shoe
10246,perspective
10247,
10250,
10260,little woman la
10268,debate question we want to hear
10270,world watch
10280,black
10283,
10289,professional help
10304,
10310,terror e de ca
10314,insane limit
10317,
10323,quote
10336,kick
10341,
10342,
10345,
10349,crime
10352,bot
10359,deal
10364,phone gaming news
10366,battlefield
10367,billing
10368,bookmobile library reading
10369,
10375,billing
10378,fin up
10380,security
10413,mantra
10415,whirlwind
10418,
10419,marcel fro fro fro
10420,whirlwind drained
10421,
10427,titania
10429,
10432,
10434,snooker
10444,fire
10446,drought wild nuclear san
10449,question
10471,
10479,profit to the people
10485,finger rock fire
10488,
10489,
10490,vail
10498,photography art
10502,
10508,wildfire
10511,wildfire
10516,fire news wa
10519,
10520,
10521,news in tweet
10522,helicopter wildfire
10524,cal wildfire
10525,
10529,
10533,wildfire
10534,wildfire
10535,news
10537,nook book the
10540,em
10541,insurance
10552,insurance
10553,now
10554,politics
10555,fire em
10557,trump
10563,
10564,
10568,wind storm be safe
10571,
10573,insurance
10581,kindle
10588,the game
10589,no more handout
10592,buffalo
10596,kindle sale
10606,buffalo
10613,news
10626,client
10627,
10628,news
10636,trial
10641,end occupation end conflict free
10647,conflict
10650,trial
10657,trial
10669,bishop
10672,
10675,trial
10684,trial
10693,
10700,music you tube
10704,trump
10715,
10720,summer fate
10723,sale
10729,
10743,news
10747,science
10765,science
10768,
10770,science
10793,
10798,news
10799,
10805,
10821,
10829,whoop
10832,trading
10837,
10840,
10842,
10844,hanna
10850,
10851,thunderstorm ar
10853,bath and north east somerset
10854,earthquake i phone
10859,breaking la
10863,world news
10867,
